source_url	parsed_url
https://redorchid84.com	https://redorchid84.com/
https://redorchid84.com	https://redorchid84.com/products/0-24m-newborn-baby-knitted-sweater-jumpsuits-autumn-winter-soft-warm-romper-boys-girls-hooded-bear-earjumpsuits-jackets
https://redorchid84.com	https://redorchid84.com/products/0-8-yrs-children-cotton-baby-girls-pantyhose-spring-autumn-winter-bowknot-tightskids-infant-knitted-collant-tights
https://redorchid84.com	https://redorchid84.com/products/1-pair-fur-ball-hair-rope-for-girl-womens-ponytail-holders-plush-ball-hair-ring-elastic-hair-rope-hair-tie-hair-accessories
https://redorchid84.com	https://redorchid84.com/products/100-cotton-baby-sleeping-bag-for-newborn-extract-envelope-swaddle-cocoon-baby-blanket-swaddling-wrap-sleepsack-for-baby-girl
https://redorchid84.com	https://redorchid84.com/products/100-organic-cotton-bibs-baby-bandana-drool-bibs-for-boys-and-girls-super-soft-unisex-absorbent-newborn-bibs
https://redorchid84.com	https://redorchid84.com/products/10pcs-lot-big-bow-baby-headband-for-girl-wide-ribbed-nylon-headband-newborn-headwrap-toddler-headband-kids-baby-hair-accessories
https://redorchid84.com	https://redorchid84.com/products/1pc-baby-hat-girl-magic-reversible-bucket-cap-for-3-to-12-months-infant-kids-girls-toddler-sun-hats-summer-flower-bow-knot-style
https://redorchid84.com	https://redorchid84.com/products/2-pieces-sets-men-fashion-tie-dyed-single-breasted-denim-jeans-jacket-coat-and-loose-fit-zipper-pants-joggers-streetwear-sets
https://redorchid84.com	https://redorchid84.com/products/2020-fashion-crystal-pendants-necklace-earrings-sets-for-women-jewelry-set-bridal-wedding-earring-necklace-set
https://redorchid84.com	https://redorchid84.com/products/2020-korean-hot-selling-fashion-jewelry-exquisite-copper-inlaid-zircon-black-smart-butterfly-womens-set-earrings-open-ring
https://redorchid84.com	https://redorchid84.com/products/2021-women-satin-dress-party-luxury-shiny-sundress-sexy-imitation-silk-fashion-ladies-dress
https://redorchid84.com	https://redorchid84.com/products/2pcs-children-hat-scarf-set-cotton-baby-beanie-collar-autumn-winter-baby-boy-girl-cap-kids-warm-hats-scarves
https://redorchid84.com	https://redorchid84.com/products/2pcs-lot-baby-bandana-bibs-organic-cotton-baby-feeding-bibs-for-drooling-teething-soft-and-absorbent-bibs-fashion-infant-bibs
https://redorchid84.com	https://redorchid84.com/products/2pcs-newborn-baby-cotton-zipper-swaddle-blanket-wrap-boy-girl-sleeping-bag-with-hat-0-6m
https://redorchid84.com	https://redorchid84.com/products/3-in-1-usb-humidifier
https://redorchid84.com	https://redorchid84.com/products/3-pair-simple-cute-baby-knit-gloves-newborn-anti-eat-hand-anti-grab-glove-mitten-54da
